Country,ClusterID
Oman,0
Denmark,0
Iceland,0
New Zealand,0
Brunei,0
Kuwait,0
Portugal,0
Ireland,0
Norway,0
Canada,0
Japan,0
Italy,0
Switzerland,0
Sweden,0
Israel,0
France,0
United Arab Emirates,0
Qatar,0
Belgium,0
Finland,0
Germany,0
Saudi Arabia,0
Greece,0
United States,0
Libya,0
Austria,0
Australia,0
Bahrain,0
United Kingdom,0
Netherlands,0
Spain,0
Romania,1
Poland,1
Grenada,1
Paraguay,1
Hungary,1
Guyana,1
Samoa,1
Kyrgyz Republic,1
Jamaica,1
Moldova,1
Montenegro,1
Morocco,1
Maldives,1
Malaysia,1
Namibia,1
Panama,1
"Macedonia, FYR",1
Liberia,1
Lesotho,1
Lebanon,1
Latvia,1
Kiribati,1
Jordan,1
Lithuania,1
Georgia,1
Seychelles,1
Serbia,1
Tunisia,1
Bulgaria,1
Botswana,1
Bosnia and Herzegovina,1
Ukraine,1
Bhutan,1
Belize,1
Tonga,1
Belarus,1
Bahamas,1
Azerbaijan,1
Armenia,1
Antigua and Barbuda,1
Vanuatu,1
Vietnam,1
Albania,1
Barbados,1
Cape Verde,1
Cambodia,1
Czech Republic,1
Fiji,1
Estonia,1
Mauritius,1
El Salvador,1
Slovak Republic,1
Slovenia,1
Solomon Islands,1
Thailand,1
Cyprus,1
"Micronesia, Fed. Sts.",1
South Africa,1
Costa Rica,1
South Korea,1
St. Vincent and the Grenadines,1
Suriname,1
Croatia,1
Uganda,2
Niger,2
Rwanda,2
Mozambique,2
Sierra Leone,2
Senegal,2
Togo,2
Tanzania,2
Afghanistan,2
Zambia,2
Cote d'Ivoire,2
Chad,2
Central African Republic,2
Gambia,2
Cameroon,2
Guinea,2
Burundi,2
Guinea-Bissau,2
Haiti,2
Burkina Faso,2
"Congo, Dem. Rep.",2
Benin,2
Comoros,2
Kenya,2
Madagascar,2
Mali,2
Malawi,2
Malta,3
Singapore,3
Luxembourg,3
Argentina,4
Sudan,4
Colombia,4
China,4
Chile,4
Tajikistan,4
Timor-Leste,4
Bangladesh,4
Venezuela,4
Angola,4
Uzbekistan,4
Uruguay,4
Turkmenistan,4
Brazil,4
Bolivia,4
Algeria,4
Turkey,4
Mongolia,4
"Congo, Rep.",4
Myanmar,4
Nepal,4
Lao,4
Yemen,4
Kazakhstan,4
Pakistan,4
Iraq,4
Iran,4
Peru,4
Sri Lanka,4
Philippines,4
India,4
Russia,4
Guatemala,4
Ghana,4
Gabon,4
Eritrea,4
Equatorial Guinea,4
Mauritania,4
Ecuador,4
Dominican Republic,4
Indonesia,4
Egypt,4
Nigeria,5
