Country,ClusterID
Singapore,-1
Qatar,-1
Grenada,-1
Greece,-1
Romania,-1
Germany,-1
Russia,-1
France,-1
Finland,-1
Serbia,-1
Estonia,-1
Seychelles,-1
Equatorial Guinea,-1
Egypt,-1
"Macedonia, FYR",-1
Dominican Republic,-1
Denmark,-1
Czech Republic,-1
Portugal,-1
Cyprus,-1
Poland,-1
Hungary,-1
Luxembourg,-1
Lithuania,-1
Libya,-1
Maldives,-1
Lebanon,-1
Malta,-1
Kuwait,-1
Montenegro,-1
Kazakhstan,-1
Japan,-1
Italy,-1
Israel,-1
Ireland,-1
Netherlands,-1
Iran,-1
New Zealand,-1
Iceland,-1
Norway,-1
Croatia,-1
Malaysia,-1
Costa Rica,-1
Botswana,-1
Thailand,-1
Slovak Republic,-1
Belgium,-1
United Arab Emirates,-1
Barbados,-1
United Kingdom,-1
Brazil,-1
Bahrain,-1
United States,-1
Austria,-1
Australia,-1
Uruguay,-1
Argentina,-1
Antigua and Barbuda,-1
Venezuela,-1
Bahamas,-1
Brunei,-1
Timor-Leste,-1
Spain,-1
South Korea,-1
Bulgaria,-1
St. Vincent and the Grenadines,-1
Canada,-1
Suriname,-1
Chile,-1
South Africa,-1
Colombia,-1
Sweden,-1
Slovenia,-1
Switzerland,-1
Solomon Islands,0
Uzbekistan,0
Mauritania,0
Moldova,0
Vietnam,0
Mali,0
Sierra Leone,0
Tajikistan,0
Myanmar,0
Nepal,0
Sudan,0
Senegal,0
Uganda,0
Niger,0
Togo,0
Rwanda,0
Pakistan,0
Tanzania,0
Mozambique,0
Afghanistan,0
Kyrgyz Republic,0
Madagascar,0
Guinea,0
Ghana,0
Gambia,0
Malawi,0
Eritrea,0
Cote d'Ivoire,0
"Congo, Dem. Rep.",0
Guinea-Bissau,0
Comoros,0
Central African Republic,0
Cameroon,0
Cambodia,0
Burundi,0
Burkina Faso,0
Benin,0
Bangladesh,0
Chad,0
Haiti,0
Zambia,0
Yemen,0
Kenya,0
Lao,0
India,0
Liberia,0
Lesotho,0
Kiribati,0
Tunisia,1
Ecuador,1
Jordan,1
Bosnia and Herzegovina,1
China,1
Peru,1
Albania,1
Turkmenistan,1
Iraq,2
Algeria,2
Tonga,3
Bhutan,3
Ukraine,3
Armenia,3
Angola,3
Cape Verde,3
Sri Lanka,3
Fiji,3
Paraguay,3
Morocco,3
Indonesia,3
Guyana,3
El Salvador,3
Guatemala,3
Georgia,3
Samoa,3
Mongolia,3
Belarus,4
Azerbaijan,4
Namibia,5
Belize,5
Jamaica,5
Nigeria,6
Bolivia,6
"Congo, Rep.",6
Philippines,6
Panama,7
Mauritius,7
Gabon,7
Turkey,8
Latvia,8
Vanuatu,9
"Micronesia, Fed. Sts.",9
Saudi Arabia,10
Oman,10
